ticker,tipo_activo,dollar_volume_promedio
CMI,equity,596599693.9950066
ABNB,equity,592010338.4757296
WBD,equity,592002948.2991618
CMG,equity,591890450.1657523
ORLY,equity,587628672.0852882
REGN,equity,585434593.8136454
TT,equity,583823701.5633819
HCA,equity,581129174.2689583
ELV,equity,580833738.2426957
UPS,equity,577404228.6707299
MMM,equity,573422367.9567773
CB,equity,573188152.8585728
ICE,equity,571728029.3154014
QBTS,equity,570941223.5807512
GM,equity,570773713.5224651
CDE,equity,568777369.5158259
TEAM,equity,567060420.4633642
CSX,equity,564251241.903565
SAP,equity,557406903.7586557
AKAM,equity,555527111.0816741
TRV,equity,549205402.3530612
MAR,equity,543746956.3679959
PLD,equity,537950161.5876164
RBLX,equity,537008983.993914
AEP,equity,536365774.5722976
PSX,equity,532764730.5677225
AMT,equity,531075298.7080504
EOG,equity,530789054.2568915
JCI,equity,528097016.3922701
BKR,equity,527872404.1735672
CIFR,equity,526766827.4240987
MDLZ,equity,524221929.5563444
ADSK,equity,523099703.174896
APO,equity,519597954.83265316
MARA,equity,519109330.2960451
ZTS,equity,517595952.5008517
TEL,equity,514614564.74452627
TTWO,equity,513964682.01431984
FSLR,equity,512386499.28374124
SO,equity,511232249.2937822
AEM,equity,509411475.9422671
CRH,equity,507157460.44032454
ZS,equity,506721262.4906478
FANG,equity,505274265.6304041
TSEM,equity,503295758.18966556
URI,equity,501775702.4296922
FN,equity,498847821.1182793
USB,equity,497647879.8229436
BNY,equity,497540548.2034074
NOC,equity,496753821.7742139
EBAY,equity,495957906.61569166
KKR,equity,494381167.4339954
WMB,equity,492780395.56717396
AXON,equity,492701162.37893087
B,equity,487869592.0833468
BP,equity,486004616.17927825
TDG,equity,485052067.3918362
HAL,equity,479548716.0153095
DUK,equity,478845826.8441962
RIVN,equity,476515829.8112451
COR,equity,475927468.8500622
WM,equity,474059198.8934724
KEYS,equity,473606866.4901738
MNST,equity,473287166.82322145
MRSH,equity,470803675.9702497
AON,equity,466332630.38597
CL,equity,466254691.2756021
MCO,equity,465969130.38323194
CI,equity,465679865.7173922
CHTR,equity,464538862.7385978
VEEV,equity,464323973.0956254
DLR,equity,462109930.73511404
PNC,equity,461999313.6045638
MSI,equity,450466828.20110184
CAH,equity,450331166.3329099
CAR,equity,449792331.4962579
HUM,equity,449421810.1987191
DOCN,equity,447174848.13686544
SE,equity,446480412.47064525
KMB,equity,445712393.17111415
CTSH,equity,445478181.5227424
AZN,equity,445122841.94025993
LHX,equity,444718043.227231
ROKU,equity,443448533.27689946
FERG,equity,441974043.7222589
MTSI,equity,440385767.02483326
GD,equity,439206385.8554251
HL,equity,438305551.5223488
EXPE,equity,437693497.3102143
STRL,equity,437091814.9718933
TWLO,equity,434761836.8730619
CF,equity,434151184.4067811
LULU,equity,432230193.00136477
KR,equity,430123877.537726
CNQ,equity,426177182.5247805
NVTS,equity,424362901.8873571
LYV,equity,424043037.2038991
DOW,equity,423832519.4368583
TTD,equity,423185798.6577489
FIG,equity,422088820.7971259
EQT,equity,420450380.7717069
PCG,equity,416892264.8321335
ECL,equity,415875390.2209854
TFC,equity,413632499.84477484
HPQ,equity,412703744.43606436
RVMD,equity,412616238.09155464
CASY,equity,412234091.9328556
CTAS,equity,411853663.5699922
XYZ,equity,411349362.2002025
OKTA,equity,411322333.8385434
HUT,equity,410241839.92695785
LYB,equity,409493178.3836424
CARR,equity,408709841.9501066
NTAP,equity,403936501.26631355
XEL,equity,403315325.68985105
MTZ,equity,401812245.6758766
ODFL,equity,400838364.20634663
EMR,equity,400598648.93561417
AJG,equity,400502280.97965956
PBR,equity,400096923.21894836
SMTC,equity,399406180.16473556
EW,equity,399055180.17844385
ENTG,equity,398361588.34725666
ALNY,equity,397409753.2331278
JBL,equity,395987161.4264846
NRG,equity,395845237.002334
IBKR,equity,393481126.47586936
RKT,equity,393047884.919872
MKSI,equity,392206787.3854745
HBAN,equity,391052514.8315211
FICO,equity,389681158.88975155
FISV,equity,387757293.8125216
ULTA,equity,387191263.35963994
BDX,equity,386956350.73239976
VALE,equity,386458425.9903053
ROP,equity,385687941.73086166
HUBS,equity,384525801.36319846
EXC,equity,383389702.2223091
NSC,equity,381128697.49815094
PL,equity,377823913.69143826
RDW,equity,377816275.51399493
ZM,equity,374561531.83445305
DG,equity,373909699.89350396
CPNG,equity,372770294.15877044
RIOT,equity,371395572.58087486
KVUE,equity,368013666.4430829
PCAR,equity,367660118.60007614
ALL,equity,366651248.5171438
NCLH,equity,366498208.61605465
VRSK,equity,365953889.675407
MSCI,equity,365849997.70714104
DLTR,equity,365500300.35898226
INSM,equity,363640974.83854365
OKE,equity,361757686.20132565
TSCO,equity,361314694.14340794
DXCM,equity,360678897.0347033
KDP,equity,360654415.7257822
TTMI,equity,360263802.5793974
FITB,equity,360052241.08867574
CRS,equity,359955913.4058857
KMI,equity,358283854.9223592
D,equity,357339324.5500582
DHI,equity,354766668.93099064
TPR,equity,354373991.5742245
APD,equity,354105729.84621745
O,equity,354004078.12900275
SPG,equity,350076099.3763428
ITW,equity,349721969.9393874
ROK,equity,349450510.1776246
FAST,equity,348377801.9157974
KHC,equity,347416025.2821768
GIS,equity,346407464.2729473
CCJ,equity,346256398.29384136
GWW,equity,343507837.5308418
HSY,equity,342632218.2678672
CBOE,equity,342615574.8803115
ALB,equity,342147144.7220619
NUE,equity,340124059.49852926
ARES,equity,339139407.28490216
ETR,equity,338178086.50102174
TRGP,equity,337639603.0497062
MP,equity,337330976.5032183
PINS,equity,337112075.84651023
IDXX,equity,336329498.33258104
EXE,equity,335802243.26841784
PAYX,equity,335675805.0457959
NTRA,equity,335357507.7966523
WAT,equity,334555424.5114405
CTVA,equity,334146436.56020916
SRE,equity,334026589.8509001
MDLN,equity,333971277.4731883
SMR,equity,332902458.6398783
NVT,equity,332187990.8769581
RSG,equity,330902259.71084774
STT,equity,329042886.97582227
YUM,equity,328754843.11190987
VTR,equity,328505952.71498036
DKS,equity,327353875.7661623
MLM,equity,326666444.82507277
VMC,equity,325320505.6526544
CPRT,equity,325137848.11197126
AA,equity,324603445.88178295
FTAI,equity,324101939.0918406
ATI,equity,323805671.03050554
TEM,equity,323588490.45514154
EL,equity,320626796.4133054
U,equity,319973427.6453066
EME,equity,319887462.6512792
PSA,equity,319087731.407518
DPZ,equity,318967605.42325467
AFRM,equity,318399734.3688804
TOST,equity,317018973.69478863
AMKR,equity,316665383.3672262
SWKS,equity,315432707.87374336
NDAQ,equity,312792306.3293896
MOD,equity,310981601.8944404
DKNG,equity,308918153.6500436
FLUT,equity,308387214.99194175
SYY,equity,308320793.9353864
LUNR,equity,306163877.75775206
OMC,equity,306018781.08085334
ONTO,equity,305680386.75095904
IR,equity,305298760.4044431
PPL,equity,304619008.31243753
CHRW,equity,304245294.79200685
GEHC,equity,303650355.3327911
SITM,equity,303189786.3848489
RF,equity,302069909.88409233
ASX,equity,301675250.0145976
AIG,equity,300645943.5047021
USAR,equity,299897537.795356
MET,equity,298629463.89600414
CNC,equity,298587204.65606076
AMP,equity,298269607.9628978
BBY,equity,298094315.8707783
CCI,equity,297421945.785113
RMBS,equity,295550805.78913605
GH,equity,294891211.5965772
IQV,equity,293690652.1778711
AME,equity,293652451.2038537
FOXA,equity,293458879.1855136
FTI,equity,291584083.7658405
QXO,equity,291460494.8603774
STZ,equity,291395619.0452805
RMD,equity,290197237.25432533
ILMN,equity,289973756.81615055
ADM,equity,289880429.61511564
HUBB,equity,289537042.2169402
W,equity,289487804.16851914
POET,equity,289476448.10219175
SUNB,equity,289196137.0058719
JOBY,equity,288995509.0549273
LUV,equity,288409539.75566596
WPM,equity,288188806.1454433
UTHR,equity,288180001.95721954
CELH,equity,286434339.7108194
A,equity,286217614.4493829
BIDU,equity,285659503.2784508
NXT,equity,285630485.4863073
CFG,equity,284078998.38000274
RY,equity,283685752.45371974
SU,equity,281532234.64322716
EFX,equity,281109810.1366086
FUTU,equity,280726853.57488215
TLN,equity,280195897.17414093
CORZ,equity,280093953.6376182
CBRE,equity,280075073.4802393
ENPH,equity,279989598.7347903
PAAS,equity,279951822.0703802
CLSK,equity,278346169.6507196
NVS,equity,277615689.78450865
JD,equity,277614657.3230676
BURL,equity,277380308.8722415
VG,equity,277056760.41444045
AU,equity,274813517.09558135
OTIS,equity,274054049.1839743
FIS,equity,273983003.46832216
LPLA,equity,273958625.3750608
ARGX,equity,273956662.7471479
AWK,equity,273537154.04864824
AVAV,equity,273366057.4731237
VIAV,equity,272730101.2237534
MXL,equity,272109140.9689204
AG,equity,271489625.8313891
GFS,equity,271327551.0718162
WWD,equity,270871025.48718405
SYF,equity,270573283.3117278
STLD,equity,270494288.24708956
XPO,equity,269707777.3366613
VXX,equity,269351646.7470089
AFL,equity,268487169.6372021
FPS,equity,266685356.05412814
Q,equity,264155391.4664088
TD,equity,264052965.24021715
UL,equity,263592771.40709692
VIK,equity,263499472.47195065
DT,equity,263142253.74618018
DRI,equity,263044121.23563755
CLX,equity,262011190.32153445
STRC,equity,261902815.83183908
TKO,equity,261878892.272511
KTOS,equity,261132497.0044645
FIVE,equity,260414246.04231262
RBRK,equity,259814790.28603604
RIO,equity,258298543.7620924
CVE,equity,258080955.4527964
THC,equity,256752358.68140736
KEY,equity,256463902.37964213
KNX,equity,256176947.02804744
BTI,equity,256035725.25347322
UMC,equity,255821406.14123794
WAB,equity,254789331.0901636
APA,equity,254694587.58513546
AEIS,equity,253854392.8124177
SCCO,equity,253661519.0775727
GPN,equity,253349834.65889183
SN,equity,250846682.4214868
KGC,equity,249358553.23900235
FDXF,equity,248693772.93055126
LEN,equity,245465858.29314044
VICI,equity,245086715.9651307
CDW,equity,244405367.55239367
JBHT,equity,244226851.80109835
TYL,equity,244139928.6423309
P,equity,243485053.4100197
FFIV,equity,243014094.86295056
QSR,equity,242906171.3484064
WSM,equity,242885324.55053213
CSGP,equity,242719631.54305837
WST,equity,242035736.04348353
OWL,equity,241270532.72467604
CAVA,equity,240981830.5784178
ED,equity,240929056.2748072
MTB,equity,240360974.10091478
HDB,equity,240203033.73354203
INFY,equity,239262851.5321541
RL,equity,238941505.97491762
LSCC,equity,238095785.01047462
WCN,equity,237489345.29385933
PODD,equity,236857245.36908764
IT,equity,236514411.35568663
ENB,equity,236097960.60858166
CNP,equity,235596027.18085763
BHP,equity,234907336.25990546
USFD,equity,234864786.88130766
SNAP,equity,234763285.29603198
ONON,equity,234395218.05394277
XYL,equity,234381779.6849554
MTD,equity,233994281.54988986
CP,equity,233868394.44040275
CMS,equity,233578777.77821055
WEC,equity,233252900.86579385
PR,equity,232818324.45692372
EIX,equity,232204148.58401963
RRX,equity,230570870.82099265
BR,equity,230067820.40065676
ET,equity,229444344.02829754
SW,equity,229197658.7817916
TECH,equity,227828217.11337635
LII,equity,226285749.25396824
WOLF,equity,225697608.91397107
MOH,equity,225306724.26612392
CAG,equity,225212171.20795387
FDS,equity,224643201.42358398
DOV,equity,224609979.96591866
PEG,equity,224214902.8840261
AEHR,equity,223941748.78408298
NTR,equity,223514926.58975717
GOOGM,equity,223070623.96490055
AGX,equity,222275928.1659385
GNRC,equity,221814395.9281072
LVS,equity,221692813.71360755
BIIB,equity,221376975.95067152
VRSN,equity,221284525.56798702
DECK,equity,221065251.17531288
SIMO,equity,220790593.8737198
ZBRA,equity,220574388.04352042
MOS,equity,219909239.73275685
DY,equity,219685971.09832573
FE,equity,218528786.54015124
RIG,equity,218510519.0481847
TROW,equity,217982563.07190531
GRMN,equity,217777391.1364255
VSH,equity,217208543.8382991
BROS,equity,217146699.1183078
PHM,equity,216801033.36630344
APGE,equity,216760307.72135258
SGI,equity,216599921.95322484
GWRE,equity,216061249.0627045
OVV,equity,215548502.11808315
HIG,equity,215253219.1433077
PPG,equity,214680417.6712107
IP,equity,214233689.35705304
ACHR,equity,214075407.28392607
VICR,equity,213553672.99201432
TDY,equity,213448458.3063507
OPEN,equity,212158639.99344373
SOUN,equity,211889193.43295845
IOT,equity,210848453.73615354
NI,equity,210693584.60304374
PRU,equity,209949651.09352136
RJF,equity,209371467.6559641
BN,equity,209203786.537615
ATO,equity,208979614.30423498
CW,equity,208973894.2908538
GSK,equity,208801788.04348528
VMRK,equity,208636871.23620254
SBAC,equity,206987562.17959452
NVMI,equity,206789321.3257543
FSLY,equity,206113265.3507316
APTV,equity,205878622.97723612
BBIO,equity,205113562.09393522
CLF,equity,205072299.77838796
TE,equity,204450101.28185612
RACE,equity,204022923.17488086
TEVA,equity,204013468.83529684
JAZZ,equity,203939111.91123462
CPAY,equity,203501652.83834028
ETSY,equity,203154808.51188096
TECK,equity,202926537.5390414
FORM,equity,202503268.47557092
GOOGN,equity,202324499.26162398
SOLS,equity,202313823.88196042
LYFT,equity,201974980.90262893
ZBH,equity,201812466.12448
PTC,equity,201480699.38551068
MKC,equity,200730826.06905797
ELF,equity,200574771.61803067
ACGL,equity,200455372.32377234
BNS,equity,199723208.3437372
WCC,equity,198582806.49048963
GDDY,equity,197970687.32199997
HST,equity,197021219.3061511
GPC,equity,195928040.4845548
BG,equity,195529648.66405487
IRM,equity,195515053.04157653
FNV,equity,195423659.93696713
RGLD,equity,195274783.85131386
BWXT,equity,195232866.10097486
CHWY,equity,195086569.45593917
DTE,equity,194992630.6276052
FLY,equity,194797110.7595124
TRI,equity,193577634.60851324
NIO,equity,192551772.455521
EQNR,equity,192035267.96647272
WING,equity,191254359.3248071
FROG,equity,191132349.3769122
SANM,equity,191043892.40099013
BLDR,equity,190454970.40443063
BTSG,equity,189825587.53367698
DGX,equity,189414509.74892426
ROL,equity,189279154.14295515
CHD,equity,189150263.6898818
ROIV,equity,188749964.99890864
IBN,equity,188733968.49166995
BJ,equity,188521918.8408618
PLUG,equity,188411096.05807933
DOCU,equity,188184057.9134623
DINO,equity,188107623.20196292
DD,equity,187267653.35972667
FWONK,equity,187232667.35489273
SAIA,equity,186957952.18799728
BRO,equity,186742940.0859506
EXPD,equity,186726214.80701625
HEI,equity,186629741.87935257
ITUB,equity,185783039.52696958
AR,equity,185559614.90757442
CCEP,equity,185358903.78253174
PNR,equity,185027062.28687492
TSN,equity,184463529.9388767
DUOL,equity,183399155.81738412
WTW,equity,183127471.81360337
MAS,equity,183099043.7765458
NVR,equity,182881401.06028947
EAT,equity,182632213.32564694
TXRH,equity,182412997.1861047
NBIX,equity,182297087.6041987
CPB,equity,182228192.98437566
AMCR,equity,181969557.97393787
AEE,equity,181890954.29908392
ALGN,equity,181461805.66842934
SNX,equity,181110884.4360413
LDOS,equity,181093094.29830813
BB,equity,181075103.2485419
CRL,equity,180501243.8776474
SJM,equity,180292319.36894143
NTRS,equity,180179246.01975942
JKHY,equity,180017219.8166046
VLTO,equity,179418263.96933842
LH,equity,179365028.36154673
GAP,equity,179287447.0279923
AER,equity,178836868.70198685
QNT,equity,178796313.3388277
TPL,equity,178068598.4165697
EPAM,equity,177931559.59028828
ZETA,equity,177809886.20273042
ITT,equity,177120041.03754207
RPRX,equity,176184487.45535028
CART,equity,175949339.90545243
CNI,equity,175711948.5100785
INCY,equity,174801119.78672233
NTNX,equity,174687924.15269554
GTLB,equity,174410194.44315338
FTV,equity,174248051.61961702
GRAB,equity,174066063.64544487
MUSA,equity,173917366.5635551
PRIM,equity,173757758.6838095
AGNC,equity,173408022.28311446
SFM,equity,172990885.44978344
CHKP,equity,172299679.7001376
SEI,equity,172000920.69382158
FCEL,equity,171045370.50350216
PKG,equity,170976239.43397298
STE,equity,170010212.21266398
EVR,equity,169503646.67331192
HAS,equity,169158798.30122244
ES,equity,169103111.56009078
JHX,equity,168632695.21872124
KRMN,equity,168578967.60037917
MDGL,equity,168484398.83124876
POOL,equity,167959684.86163294
ABVX,equity,167959566.80949733
WSO,equity,167930188.40341687
TRU,equity,167692428.1837529
CNH,equity,167660701.26352155
LNT,equity,167460041.5261616
AS,equity,166684880.48108175
TW,equity,166530010.90275574
ALLE,equity,166006827.9546547
POWL,equity,165876202.69224074
BWA,equity,165727969.4410166
COO,equity,165707497.47184885
MEDP,equity,165619223.57446337
HII,equity,165407488.29292083
PFGC,equity,165357616.36105087
AXSM,equity,165177340.33057067
SEDG,equity,164642501.0557011
MGM,equity,164608496.87320608
AMRZ,equity,164292940.84405264
IONS,equity,164146434.09745514
CYTK,equity,163593174.4840101
CSL,equity,163054293.1773114
EXR,equity,162863245.85522377
EVRG,equity,162845998.7315636
PBF,equity,162665636.5458128
CG,equity,162357800.1794852
KEEL,equity,161789401.7154763
DAR,equity,161111407.09702495
RCAT,equity,161059404.9138099
INFQ,equity,160995303.54573354
PAYC,equity,160449644.04314193
MBGL,equity,160218616.9186557
VTRS,equity,159938650.15383002
DAVE,equity,159801495.18698812
AUR,equity,159790193.23086986
SSNC,equity,159689887.22466588
TRP,equity,158978358.39209837
UUUU,equity,158873507.20097926
ALK,equity,158823383.83497694
FCNCA,equity,158407229.91954714
DVA,equity,157975847.14492965
EQH,equity,157947070.18184635
WYNN,equity,157322121.4525823
NLY,equity,156703138.9901398
FLNC,equity,156646200.53176367
TRMB,equity,156434679.3302553
SUI,equity,156295932.07818246
GEN,equity,156244458.43043593
GLXY,equity,156220964.4255679
BUD,equity,156052144.54852852
ASND,equity,155851155.47303194
ESI,equity,155175054.36675406
FLS,equity,155068968.9915665
TOL,equity,154766156.46902394
CACI,equity,154706806.9061365
TTE,equity,153584453.15036416
CZR,equity,152188562.07112163
SAN,equity,152172459.59421587
IEX,equity,152165217.67913795
SWK,equity,152049744.1148658
AGI,equity,151972720.38570225
NYT,equity,150512759.11595592
CLH,equity,150052046.46739006
WIX,equity,149922806.86816454
HSBC,equity,149817594.95666716
AHR,equity,149694698.14636657
INVH,equity,149071749.4071841
OC,equity,148924555.1303013
BAX,equity,148768082.6762441
LEU,equity,148681279.60009965
Z,equity,148652331.37755334
OSCR,equity,148391874.8929078
JBLU,equity,147970246.91484028
ARWR,equity,147950139.92031303
VSAT,equity,147899775.29304564
EOSE,equity,147838218.34078154
UHS,equity,147267915.95834717
PCOR,equity,147236957.80130622
CM,equity,147120559.55634066
CRBG,equity,146989800.34563908
GFI,equity,146886162.6841375
RH,equity,146646630.57013956
FIGR,equity,146463621.80139554
VSXY,equity,145237705.09124094
GME,equity,145199305.16815865
OLLI,equity,145035294.93407646
RGEN,equity,144805792.98604235
FND,equity,144347980.97999507
QS,equity,144278957.03993237
BAH,equity,144202386.24328935
QUBT,equity,144138897.07557258
BALL,equity,144106105.01139212
KMX,equity,144045503.1569089
EQX,equity,143871674.97538602
PEN,equity,143841810.02023622
RVTY,equity,143701967.40214893
AES,equity,143507969.6890192
PENG,equity,143435462.75018722
BAM,equity,143408381.8724217
H,equity,143251583.33136022
BCS,equity,142155216.53084123
DOC,equity,142117998.97375578
PRAX,equity,142111303.9550526
ANF,equity,141858032.1208328
MTCH,equity,141429674.53334603
PFG,equity,140875036.17213783
ELAN,equity,140698449.67766932
ALLY,equity,140047483.60090202
XE,equity,139708065.14333686
TCOM,equity,139688584.23687142
IVZ,equity,139335370.57419628
IESC,equity,139326617.7993374
WRB,equity,138548477.46042025
SNA,equity,138448932.07870838
IFF,equity,138429528.77656046
UDR,equity,138398635.4623428
HALO,equity,138107478.2213974
BEN,equity,138085512.29285708
BAP,equity,137176404.78203058
ESTC,equity,136848488.13844383
SNY,equity,136815355.63310844
EPD,equity,136695057.39418685
J,equity,136246340.69957823
UPST,equity,136179948.9962449
CHYM,equity,136131800.61256897
SM,equity,134796240.01671115
ARMK,equity,134790484.89385396
STLA,equity,134559207.65642422
OUST,equity,134467630.5598255
RBC,equity,134357725.5335679
S,equity,133927221.36761974
ACM,equity,133716600.55982073
TXT,equity,133439644.52686754
ALC,equity,132643441.98663557
ICLR,equity,132614657.37556824
INIO,equity,131875190.89394578
RBA,equity,131289274.79318297
CGNX,equity,131013914.56640394
M,equity,130863263.47576766
SHAK,equity,130731925.29138774
LFUS,equity,129871739.24308245
TIGO,equity,129795809.0089672
EXEL,equity,129039479.67430806
FLR,equity,129029171.43359697
HBM,equity,128790607.37906682
ESS,equity,128595253.11550051
SPXC,equity,128487496.80960894
BMO,equity,128321738.27614741
SIRI,equity,127965098.099286
CROX,equity,127913712.58448686
WY,equity,127536973.77719843
AVY,equity,127484842.90938479
RRC,equity,127054028.56861174
MKL,equity,126910230.1009001
TWST,equity,126852792.39889646
COMP,equity,126835379.4766577
CINF,equity,126697023.15054488
AMPX,equity,126594739.22102316
JLL,equity,126094647.77789354
EG,equity,126061559.08873187
RS,equity,125958148.5735793
BTG,equity,125953306.45103712
MNDY,equity,125592149.83036077
MAA,equity,125408919.54045732
TAP,equity,125361329.29256788
CELC,equity,125237593.94135663
BTDR,equity,124835366.21530984
ERIC,equity,124480705.75234045
BBAI,equity,124340514.23730694
FRVO,equity,123721982.13899525
WHR,equity,123392400.4895091
APG,equity,123290788.98767309
PNFP,equity,123049488.58024135
WMS,equity,122862189.76032162
SONY,equity,122542752.87780407
UNM,equity,122150470.89579643
WFRD,equity,121724824.08934861
GMED,equity,121439914.97479916
ARW,equity,120316171.02061737
NWSA,equity,120298639.13303159
PNW,equity,120117114.26750243
VFC,equity,120010376.8793155
TPG,equity,119647338.79895735
FHN,equity,119156958.34539038
BBD,equity,118664857.78113447
PLNT,equity,118321785.91982967
UEC,equity,118091659.05279317
GGG,equity,118017221.06878507
FRSH,equity,117323222.53101759
CHRD,equity,117017227.0433116
AYI,equity,116981848.700732
